tot,count
Morgan St & 31st St,1916
Rhodes Ave & 32nd St,1915
Washtenaw Ave & Lawrence Ave,1911
Racine Ave (May St) & Fulton St,1900
May St & Cullerton St,1898
Western Ave & Monroe St,1896
Leavitt St & Belmont Ave (*),1894
Chicago Ave & Dempster St,1892
Halsted St & Archer Ave,1875
Western Ave & Congress Pkwy,1874
Greenview Ave & Jarvis Ave,1842
Lincoln Ave & Winona St,1779
Leavitt St & Addison St,1775
Dearborn St & Van Buren St (*),1757
Avondale Ave & Irving Park Rd,1714
Hoyne Ave & Balmoral Ave,1705
Wentworth Ave & 35th St,1701
Halsted St & North Branch St,1658
Troy St & North Ave,1643
Wentworth Ave & 33rd St,1605
Central St Metra,1593
Kimball Ave & Belmont Ave,1579
Ogden Ave & Roosevelt Rd,1578
Sheridan Rd & Greenleaf Ave,1569
Loomis St & Taylor St (*),1551
Clark St & Schreiber Ave,1550
Central Park Ave & Elbridge Ave,1523
Halsted St & 21st St,1522
Francisco Ave & Foster Ave,1514
Ashland Ave & Lake St (Temp),1488
Drake Ave & Addison St,1463
Greenwood Ave & 47th St,1436
Western Ave & 21st St,1425
Clark St & Columbia Ave,1419
Clinton St & Polk St,1416
Kedzie Ave & Leland Ave,1408
Orleans St & Elm St (*),1388
Malcolm X College,1374
Ashland Ave & 21st St,1371
Christiana Ave & Lawrence Ave,1355
Loomis St & Archer Ave,1347
Woodlawn Ave & Lake Park Ave,1323
Western Ave & Lunt Ave,1321
Prairie Ave & Garfield Blvd,1303
Ogden Ave & Congress Pkwy,1294
Manor Ave & Leland Ave,1286
Wentworth Ave & 24th St (Temp),1278
Wallace St & 35th St,1264
California Ave & Byron St,1255
Avers Ave & Belmont Ave,1236
Smith Park (*),1217
Normal Ave & Archer Ave,1190
Albany Ave & Montrose Ave,1187
63rd St Beach,1177
Central Park Ave & North Ave,1131
Wolcott (Ravenswood) Ave & Montrose Ave (*),1116
Calumet Ave & 35th St,1102
Drake Ave & Montrose Ave,1099
Racine Ave & 13th St,1090
MLK Jr Dr & Pershing Rd,1087
Monticello Ave & Irving Park Rd,1074
California Ave & 21st St,1050
Glenwood Ave & Touhy Ave,1041
Sawyer Ave & Irving Park Rd,1041
Central St & Girard Ave,1038
Shields Ave & 28th Pl,1003
Kedzie Ave & Foster Ave,965
Cottage Grove Ave & 47th St,962
Western Ave & Granville Ave,952
Cottage Grove Ave & Oakwood Blvd,944
South Shore Dr & 71st St,942
Halsted St & 35th St,939
Spaulding Ave & Division St,937
Elmwood Ave & Austin St,937
Keystone Ave & Fullerton Ave,928
Lincolnwood Dr & Central St,902
Racine Ave & 35th St,899
Cottage Grove Ave & 51st St,888
Kedzie Ave & Lake St,888
Warren Park West,885
Washtenaw Ave & Ogden Ave,884
Kedzie Ave & Chicago Ave,884
California Ave & Francis Pl (Temp),878
Warren Park East,875
California Ave & 23rd Pl,869
Clinton St & Polk St (*),862
Dodge Ave & Church St,858
Conservatory Dr & Lake St,841
Cottage Grove Ave & 43rd St,832
Dorchester Ave & 49th St,817
California Ave & Lake St,805
Ridge Blvd & Touhy Ave,797
Cherry Ave & Blackhawk St,788
Halsted St & 37th St,776
Kilbourn Ave & Milwaukee Ave,765
Kedzie Ave & Bryn Mawr Ave,759
Pulaski Rd & Eddy St (Temp),757
Western Ave & Howard St,751
Prairie Ave & 43rd St,732
St. Louis Ave & Balmoral Ave,723
South Shore Dr & 67th St,708
Calumet Ave & 51st St,691
Clark St & Jarvis Ave,684
State St & 29th St,679
Bernard St & Elston Ave,678
Keystone Ave & Montrose Ave,645
Valli Produce - Evanston Plaza,619
2112 W Peterson Ave,614
Western Ave & 24th St,600
Leavitt St & Archer Ave,590
Knox Ave & Montrose Ave,589
Ashland Ave & McDowell Ave,577
Sacramento Blvd & Franklin Blvd,571
Milwaukee Ave & Cuyler Ave,562
Kilbourn Ave & Irving Park Rd,550
DuSable Museum,541
Ashland Ave & Archer Ave,536
Archer (Damen) Ave & 37th St,529
Budlong Woods Library,513
Princeton Ave & Garfield Blvd,505
Dorchester Ave & 63rd St,503
Wentworth Ave & 24th St,502
Oakley Ave & Touhy Ave,483
Evanston Civic Center,471
Ridge Blvd & Howard St,456
Bosworth Ave & Howard St,456
Clark St & Touhy Ave,453
Wood St & 35th St,445
Cottage Grove Ave & 63rd St,444
Austin Blvd & Lake St,434
Kildare Ave & Montrose Ave,417
Maplewood Ave & Peterson Ave,415
MLK Jr Dr & 47th St,407
Ashland Ave & Pershing Rd,406
Kedzie Ave & 21st St,383
Dodge Ave & Mulford St,379
Fairfield Ave & Roosevelt Rd,375
Halsted St & 35th St (*),363
Indiana Ave & 40th St,363
Racine Ave & Garfield Blvd,327
Jeffery Blvd & 67th St,325
Washtenaw Ave & Ogden Ave (*),314
Laflin St & Cullerton St,313
South Shore Dr & 74th St,307
Union Ave & Root St,306
Damen Ave & Coulter St,303
Stony Island Ave & 71st St,270
Jeffery Blvd & 71st St,265
Wolcott Ave & Fargo Ave,264
Kedzie Ave & Roosevelt Rd,256
Hoyne Ave & 47th St,256
Halsted St & 47th Pl,241
Western Blvd & 48th Pl,233
Millard Ave & 26th St,229
Stony Island Ave & 64th St,228
Cornell Dr & Hayes Dr,224
Central Park Ave & Ogden Ave,223
Stony Island Ave & 67th St,220
Western Ave & 28th St,219
State St & Pershing Rd,216
Central Ave & Chicago Ave,215
Albany Ave & 26th St,213
Princeton Ave & 47th St,204
State St & 79th St,201
Austin Blvd & Chicago Ave,193
Kedzie Ave & Harrison St,190
HUBBARD ST BIKE CHECKING (LBS-WH-TEST),187
Damen Ave & Pershing Rd,184
MLK Jr Dr & 83rd St,177
Eberhart Ave & 61st St,177
Vernon Ave & 75th St,175
Halsted St & 63rd St,167
Stony Island Ave & 75th St,158
Rainbow Beach,152
California Ave & 26th St,144
Pulaski Rd & Congress Pkwy,143
Greenwood Ave & 79th St,143
Archer (Damen) Ave & 37th St (*),140
Karlov Ave & Madison St,139
Wabash Ave & 87th St,138
Austin Blvd & Madison St,138
Ashland Ave & Garfield Blvd,135
Cottage Grove Ave & 67th St,135
MLK Jr Dr & 63rd St,135
Ashland Ave & 50th St,133
Central Ave & Madison St,127
Laramie Ave & Madison St,125
Morgan St & Pershing Rd,122
Jeffery Blvd & 76th St,120
Yates Blvd & 75th St,120
Pulaski Rd & Lake St,118
Central Ave & Lake St,114
Wentworth Ave & 63rd St,111
Latrobe Ave & Chicago Ave,111
Marshfield Ave & 44th St,111
Kostner Ave & Adams St,110
Cottage Grove Ave & 83rd St,110
MLK Jr Dr & 56th St,109
Central Park Blvd & 5th Ave,105
Kedzie Ave & 24th St,104
Evans Ave & 75th St,102
Perry Ave & 69th St,101
Cicero Ave & Lake St,100
Elizabeth St & 47th St,100
Central Ave & Harrison St,92
Central Park Ave & 24th St,91
Ashland Ave & 63rd St,87
Halsted St & 69th St,84
Commercial Ave & 83rd St,83
State St & 54th St,83
Phillips Ave & 83rd St,82
DIVVY Map Frame B/C Station,75
Laramie Ave & Kinzie St,73
Halsted St & 56th St,72
Cottage Grove Ave & 78th St,69
Stony Island Ave & 82nd St,64
Vernon Ave & 79th St,63
Damen Ave & 51st St,62
Phillips Ave & 79th St,62
Ashland Ave & 69th St,61
Cicero Ave & Quincy St,59
Exchange Ave & 79th St,59
Ellis Ave & 83rd St,56
State St & 76th St,55
MLK Jr Dr & 56th St (*),53
Laramie Ave & Gladys Ave,51
Stewart Ave & 63rd St (*),50
Woodlawn Ave & 75th St,44
Bennett Ave & 79th St,44
Cottage Grove Ave & 71st St,44
Ashland Ave & 66th St,43
Throop St & 52nd St,41
Wabash Ave & 83rd St,39
Marshfield Ave & 59th St,38
Eggleston Ave & 69th St (*),37
Shields Ave & 43rd St,36
Calumet Ave & 71st St,34
Kenton Ave & Madison St,34
Stony Island Ave & South Chicago Ave,34
Halsted St & 59th St,30
Halsted St & 51st St,30
South Chicago Ave & 83rd St,30
Seeley Ave & Garfield Blvd,28
Damen Ave & 59th St,25
Cicero Ave & Flournoy St,25
Vincennes Ave & 75th St,24
Rhodes Ave & 71st St,21
Carpenter St & 63rd St,21
Kostner Ave & Lake St,19
May St & 69th St,19
Michigan Ave & 71st St,16
Racine Ave & 65th St,15
Elizabeth St & 59th St,13
South Chicago Ave & Elliot Ave,8
Racine Ave & 61st St,7
HQ QR,5
MTL-ECO5.1-01,4
DIVVY CASSETTE REPAIR MOBILE STATION,3
TS ~ DIVVY PARTS TESTING,2
Special Events,1
LBS - BBB La Magie,1
