end_station_name,end_lat,end_lng,count
Franklin St & Chicago Ave,41.8967,-87.6357,8202
Franklin St & Illinois St,41.891,-87.6355,5289
Franklin St & Jackson Blvd,41.8777,-87.6353,18816
Franklin St & Lake St,41.8858,-87.6355,14132
Franklin St & Monroe St,41.8803,-87.6352,30500
Glenwood Ave & Morse Ave,42.008,-87.6655,3008
Glenwood Ave & Touhy Ave,42.0127,-87.6661,1041
Green St & Madison St,41.8819,-87.6488,17621
Green St & Randolph St,41.8837,-87.6487,15350
Greenview Ave & Diversey Pkwy,41.9326,-87.6659,4412
Greenview Ave & Fullerton Ave,41.9253,-87.6658,7862
Greenview Ave & Jarvis Ave,42.016,-87.6686,1842
Greenwood Ave & 47th St,41.8098,-87.5994,1436
Greenwood Ave & 79th St,41.7513,-87.5976,143
HQ QR,41.8899,-87.6803,5
HUBBARD ST BIKE CHECKING (LBS-WH-TEST),41.89,-87.6807,187
Halsted St & 18th St,41.8575,-87.6463,2457
Halsted St & 21st St,41.8538,-87.6466,1522
Halsted St & 35th St,41.8307,-87.6472,939
Halsted St & 37th St,41.8271,-87.6457,776
Halsted St & 47th Pl,41.8081,-87.6456,241
Halsted St & 51st St,41.8018,-87.6452,30
Halsted St & 56th St,41.7929,-87.645,72
Halsted St & 59th St,41.7875,-87.6449,30
Halsted St & 63rd St,41.7794,-87.6446,167
Halsted St & 69th St,41.7691,-87.6446,84
Halsted St & Archer Ave,41.8472,-87.6468,1875
Halsted St & Clybourn Ave,41.9097,-87.6481,11957
Halsted St & Dickens Ave,41.9199,-87.6488,11646
Halsted St & Maxwell St,41.8649,-87.6471,7114
Halsted St & North Branch St,41.8994,-87.6485,1658
Halsted St & Polk St,41.8718,-87.6466,8089
Halsted St & Roosevelt Rd,41.8673,-87.6486,6932
Halsted St & Roscoe St,41.9437,-87.649,10990
Halsted St & Willow St,41.9139,-87.6488,7461
Halsted St & Wrightwood Ave,41.9291,-87.6491,9680
Harper Ave & 59th St,41.7879,-87.5883,3181
Hermitage Ave & Polk St,41.8715,-87.6699,4728
Honore St & Division St,41.9031,-87.6739,8302
Hoyne Ave & 47th St,41.8082,-87.6772,256
Hoyne Ave & Balmoral Ave,41.9799,-87.6819,1705
Humboldt Blvd & Armitage Ave,41.9175,-87.7018,3989
Indiana Ave & 26th St,41.8457,-87.6225,2369
Indiana Ave & 31st St,41.8388,-87.6219,2993
Indiana Ave & 40th St,41.8217,-87.6216,363
Indiana Ave & Roosevelt Rd,41.8679,-87.623,21179
Jefferson St & Monroe St,41.8804,-87.6427,8611
Jeffery Blvd & 67th St,41.7735,-87.5771,325
Jeffery Blvd & 71st St,41.7666,-87.5764,265
Jeffery Blvd & 76th St,41.7571,-87.5758,120
Karlov Ave & Madison St,41.8809,-87.7279,139
Kedzie Ave & 21st St,41.8535,-87.7051,383
Kedzie Ave & 24th St,41.8482,-87.7054,104
Kedzie Ave & Bryn Mawr Ave,41.9824,-87.7089,759
Kedzie Ave & Chicago Ave,41.8955,-87.7061,884
Kedzie Ave & Foster Ave,41.9757,-87.7093,965
Kedzie Ave & Harrison St,41.8736,-87.7049,190
Kedzie Ave & Lake St,41.8846,-87.7063,888
Kedzie Ave & Leland Ave,41.9667,-87.7081,1408
Kedzie Ave & Milwaukee Ave,41.9296,-87.7079,10142
Kedzie Ave & Palmer Ct,41.9215,-87.7073,3848
Kedzie Ave & Roosevelt Rd,41.8665,-87.7065,256
Kenton Ave & Madison St,41.8807,-87.741,34
Keystone Ave & Fullerton Ave,41.9246,-87.7279,928
Keystone Ave & Montrose Ave,41.9611,-87.729,645
Kilbourn Ave & Irving Park Rd,41.9537,-87.7406,550
Kilbourn Ave & Milwaukee Ave,41.9488,-87.74,765
Kildare Ave & Montrose Ave,41.9611,-87.7357,417
Kimball Ave & Belmont Ave,41.9394,-87.7116,1579
Kimbark Ave & 53rd St,41.7996,-87.5947,8870
Kingsbury St & Erie St,41.8938,-87.6417,17058
Kingsbury St & Kinzie St,41.8892,-87.6385,32706
Knox Ave & Montrose Ave,41.9606,-87.7454,589
Kosciuszko Park,41.9306,-87.7238,2086
Kostner Ave & Adams St,41.8779,-87.7357,110
Kostner Ave & Lake St,41.8859,-87.7354,19
LaSalle Dr & Huron St,41.8949,-87.6323,7247
LaSalle St & Adams St,41.8793,-87.632,6527
LaSalle St & Illinois St,41.8908,-87.6317,20239
LaSalle St & Jackson Blvd,41.8782,-87.6319,23388
LaSalle St & Washington St,41.8827,-87.6325,10605
Laflin St & Cullerton St,41.8549,-87.6636,313
Lake Park Ave & 35th St,41.8313,-87.6088,2693
Lake Park Ave & 47th St,41.8094,-87.5919,2238
