start_station_name,start_lat,start_lng,casual,member
Michigan Ave & Pearson St,41.8977,-87.6235,5441.0,5546.0
Michigan Ave & Washington St,41.884,-87.6247,12378.0,24845.0
Mies van der Rohe Way & Chestnut St,41.8986,-87.6219,4634.0,9846.0
Mies van der Rohe Way & Chicago Ave,41.8969,-87.6217,3498.0,9083.0
Millard Ave & 26th St,41.8446,-87.7159,65.0,102.0
Millennium Park,41.881,-87.6241,21899.0,12627.0
Milwaukee Ave & Cuyler Ave,41.9545,-87.7496,86.0,485.0
Milwaukee Ave & Grand Ave,41.8916,-87.6484,2067.0,13400.0
Milwaukee Ave & Rockwell St,41.9202,-87.693,787.0,2384.0
Milwaukee Ave & Wabansia Ave,41.9126,-87.6814,2056.0,8064.0
Monticello Ave & Irving Park Rd,41.954,-87.7191,195.0,861.0
Montrose Harbor,41.964,-87.6382,8341.0,5543.0
Morgan Ave & 14th Pl,41.8624,-87.6511,421.0,3681.0
Morgan St & 18th St,41.8581,-87.6511,904.0,3390.0
Morgan St & 31st St,41.8378,-87.6511,373.0,1461.0
Morgan St & Lake St,41.8855,-87.6523,2649.0,15595.0
Morgan St & Pershing Rd,41.8236,-87.6509,15.0,114.0
Morgan St & Polk St,41.8717,-87.651,981.0,12562.0
Museum of Science and Industry,41.7917,-87.5839,2652.0,1040.0
Noble St & Milwaukee Ave,41.9007,-87.6626,866.0,5765.0
Normal Ave & Archer Ave,41.8495,-87.6406,153.0,1018.0
