end_station_name,end_lat,end_lng,member_casual,count
Christiana Ave & Lawrence Ave,41.9684,-87.7118,member,1039
Cicero Ave & Flournoy St,41.8721,-87.7466,casual,12
Cicero Ave & Flournoy St,41.8721,-87.7466,member,13
Cicero Ave & Lake St,41.8868,-87.7453,casual,37
Cicero Ave & Lake St,41.8868,-87.7453,member,63
Cicero Ave & Quincy St,41.8776,-87.7454,casual,41
Cicero Ave & Quincy St,41.8776,-87.7454,member,18
Cityfront Plaza Dr & Pioneer Ct,41.8906,-87.6221,casual,3787
Cityfront Plaza Dr & Pioneer Ct,41.8906,-87.6221,member,9292
Claremont Ave & Hirsch St,41.9078,-87.6859,casual,335
Claremont Ave & Hirsch St,41.9078,-87.6859,member,2895
Clarendon Ave & Gordon Ter,41.9579,-87.6495,casual,1621
Clarendon Ave & Gordon Ter,41.9579,-87.6495,member,6240
Clarendon Ave & Junior Ter,41.961,-87.6496,casual,1615
Clarendon Ave & Junior Ter,41.961,-87.6496,member,4214
Clarendon Ave & Leland Ave,41.968,-87.65,casual,930
Clarendon Ave & Leland Ave,41.968,-87.65,member,2690
Clark St & 9th St (AMLI),41.8708,-87.6312,casual,649
Clark St & 9th St (AMLI),41.8708,-87.6312,member,3660
Clark St & Armitage Ave,41.9183,-87.6363,casual,7346
Clark St & Armitage Ave,41.9183,-87.6363,member,15428
Clark St & Berwyn Ave,41.978,-87.668,casual,1394
Clark St & Berwyn Ave,41.978,-87.668,member,6222
Clark St & Bryn Mawr Ave,41.9836,-87.6692,casual,764
Clark St & Bryn Mawr Ave,41.9836,-87.6692,member,3765
Clark St & Chicago Ave,41.8968,-87.6309,casual,1605
Clark St & Chicago Ave,41.8968,-87.6309,member,8148
Clark St & Columbia Ave,42.0045,-87.6724,casual,153
Clark St & Columbia Ave,42.0045,-87.6724,member,1266
Clark St & Drummond Pl,41.9312,-87.6443,casual,3399
Clark St & Drummond Pl,41.9312,-87.6443,member,12815
Clark St & Elm St,41.903,-87.6313,casual,4467
Clark St & Elm St,41.903,-87.6313,member,23419
Clark St & Elmdale Ave,41.9905,-87.6698,casual,394
Clark St & Elmdale Ave,41.9905,-87.6698,member,2055
Clark St & Grace St,41.9508,-87.6592,casual,2178
Clark St & Grace St,41.9508,-87.6592,member,5531
Clark St & Ida B Wells Dr,41.8759,-87.6306,casual,743
Clark St & Ida B Wells Dr,41.8759,-87.6306,member,10895
Clark St & Jarvis Ave,42.016,-87.675,casual,127
Clark St & Jarvis Ave,42.016,-87.675,member,557
Clark St & Lake St,41.886,-87.6309,casual,2656
Clark St & Lake St,41.886,-87.6309,member,12659
Clark St & Leland Ave,41.9671,-87.6674,casual,829
Clark St & Leland Ave,41.9671,-87.6674,member,4796
Clark St & Lincoln Ave,41.9157,-87.6346,casual,6890
Clark St & Lincoln Ave,41.9157,-87.6346,member,13273
Clark St & Lunt Ave,42.0091,-87.6742,casual,317
Clark St & Lunt Ave,42.0091,-87.6742,member,2840
Clark St & Montrose Ave,41.9616,-87.666,casual,667
Clark St & Montrose Ave,41.9616,-87.666,member,3649
Clark St & Newport St,41.9445,-87.6547,casual,3031
Clark St & Newport St,41.9445,-87.6547,member,6171
Clark St & North Ave,41.912,-87.6319,casual,3550
Clark St & North Ave,41.912,-87.6319,member,6251
Clark St & Randolph St,41.8846,-87.6319,casual,2066
Clark St & Randolph St,41.8846,-87.6319,member,13640
Clark St & Schiller St,41.908,-87.6315,casual,2180
Clark St & Schiller St,41.908,-87.6315,member,10273
Clark St & Schreiber Ave,41.9993,-87.6714,casual,286
Clark St & Schreiber Ave,41.9993,-87.6714,member,1264
Clark St & Touhy Ave,42.0126,-87.6744,casual,95
Clark St & Touhy Ave,42.0126,-87.6744,member,358
Clark St & Wellington Ave,41.9365,-87.6475,casual,2068
Clark St & Wellington Ave,41.9365,-87.6475,member,9741
Clark St & Winnemac Ave,41.9733,-87.6678,casual,1202
Clark St & Winnemac Ave,41.9733,-87.6678,member,6900
Clark St & Wrightwood Ave,41.9295,-87.6431,casual,3340
Clark St & Wrightwood Ave,41.9295,-87.6431,member,12657
Clifton Ave & Armitage Ave,41.9182,-87.6569,casual,1268
Clifton Ave & Armitage Ave,41.9182,-87.6569,member,6992
Clinton St & 18th St,41.858,-87.6408,casual,359
Clinton St & 18th St,41.858,-87.6408,member,2321
Clinton St & Jackson Blvd,41.8781,-87.6398,casual,1322
Clinton St & Jackson Blvd,41.8781,-87.6398,member,12764
Clinton St & Lake St,41.8856,-87.6418,casual,1765
Clinton St & Lake St,41.8856,-87.6418,member,21892
Clinton St & Madison St,41.8822,-87.6411,casual,3021
Clinton St & Madison St,41.8822,-87.6411,member,44236
Clinton St & Polk St,41.8715,-87.6409,casual,220
Clinton St & Polk St,41.8715,-87.6409,member,1196
Clinton St & Roosevelt Rd,41.8671,-87.6411,casual,1146
Clinton St & Roosevelt Rd,41.8671,-87.6411,member,5224
Clinton St & Tilden St,41.8759,-87.6408,casual,391
Clinton St & Tilden St,41.8759,-87.6408,member,6357
Clinton St & Washington Blvd,41.8834,-87.6412,casual,2518
Clinton St & Washington Blvd,41.8834,-87.6412,member,47596
Clybourn Ave & Division St,41.9046,-87.6406,casual,556
Clybourn Ave & Division St,41.9046,-87.6406,member,5492
Columbus Dr & Randolph St,41.8847,-87.6195,casual,4929
Columbus Dr & Randolph St,41.8847,-87.6195,member,19419
Commercial Ave & 83rd St,41.7446,-87.5512,casual,54
Commercial Ave & 83rd St,41.7446,-87.5512,member,29
Conservatory Dr & Lake St,41.8855,-87.7169,casual,297
Conservatory Dr & Lake St,41.8855,-87.7169,member,544
Cornell Ave & Hyde Park Blvd,41.8024,-87.5869,casual,1686
Cornell Ave & Hyde Park Blvd,41.8024,-87.5869,member,4332
Cornell Dr & Hayes Dr,41.7806,-87.5848,casual,119
Cornell Dr & Hayes Dr,41.7806,-87.5848,member,105
Cottage Grove Ave & 43rd St,41.8165,-87.6066,casual,130
Cottage Grove Ave & 43rd St,41.8165,-87.6066,member,702
Cottage Grove Ave & 47th St,41.8099,-87.6068,casual,249
Cottage Grove Ave & 47th St,41.8099,-87.6068,member,713
Cottage Grove Ave & 51st St,41.803,-87.6066,casual,218
Cottage Grove Ave & 51st St,41.803,-87.6066,member,670
Cottage Grove Ave & 63rd St,41.7806,-87.6061,casual,137
Cottage Grove Ave & 63rd St,41.7806,-87.6061,member,307
Cottage Grove Ave & 67th St,41.7737,-87.6056,casual,43
Cottage Grove Ave & 67th St,41.7737,-87.6056,member,92
Cottage Grove Ave & 71st St,41.7657,-87.605,casual,20
Cottage Grove Ave & 71st St,41.7657,-87.605,member,24
Cottage Grove Ave & 78th St,41.7532,-87.605,casual,25
Cottage Grove Ave & 78th St,41.7532,-87.605,member,44
Cottage Grove Ave & 83rd St,41.7434,-87.6048,casual,76
Cottage Grove Ave & 83rd St,41.7434,-87.6048,member,34
Cottage Grove Ave & Oakwood Blvd,41.823,-87.6071,casual,542
Cottage Grove Ave & Oakwood Blvd,41.823,-87.6071,member,402
Daley Center Plaza,41.8842,-87.6296,casual,2568
Daley Center Plaza,41.8842,-87.6296,member,30819
Damen Ave & 51st St,41.8009,-87.6747,casual,34
Damen Ave & 51st St,41.8009,-87.6747,member,28
Damen Ave & Charleston St,41.9201,-87.6779,casual,880
Damen Ave & Charleston St,41.9201,-87.6779,member,3430
Damen Ave & Chicago Ave,41.8958,-87.6772,casual,1471
Damen Ave & Chicago Ave,41.8958,-87.6772,member,8728
Damen Ave & Clybourn Ave,41.9319,-87.6779,casual,567
Damen Ave & Clybourn Ave,41.9319,-87.6779,member,3229
Damen Ave & Cortland St,41.916,-87.6773,casual,2190
Damen Ave & Cortland St,41.916,-87.6773,member,6957
Damen Ave & Coulter St,41.8492,-87.6756,casual,107
Damen Ave & Coulter St,41.8492,-87.6756,member,196
Damen Ave & Cullerton St,41.855,-87.6757,casual,594
Damen Ave & Cullerton St,41.855,-87.6757,member,1381
Damen Ave & Division St,41.9033,-87.6784,casual,1065
Damen Ave & Division St,41.9033,-87.6784,member,6969
Damen Ave & Foster Ave,41.9756,-87.6795,casual,648
Damen Ave & Foster Ave,41.9756,-87.6795,member,3125
Damen Ave & Grand Ave,41.8912,-87.6769,casual,660
Damen Ave & Grand Ave,41.8912,-87.6769,member,4136
Damen Ave & Leland Ave,41.9671,-87.679,casual,651
Damen Ave & Leland Ave,41.9671,-87.679,member,4745
Damen Ave & Madison St,41.8814,-87.6749,casual,712
Damen Ave & Madison St,41.8814,-87.6749,member,1274
Damen Ave & Melrose Ave,41.9406,-87.6785,casual,571
Damen Ave & Melrose Ave,41.9406,-87.6785,member,2035
Damen Ave & Pershing Rd,41.8232,-87.6766,casual,115
Damen Ave & Pershing Rd,41.8232,-87.6766,member,69
Damen Ave & Pierce Ave,41.9094,-87.6777,casual,4850
Damen Ave & Pierce Ave,41.9094,-87.6777,member,16458
Damen Ave & Sunnyside Ave,41.9633,-87.6793,casual,412
Damen Ave & Sunnyside Ave,41.9633,-87.6793,member,2190
Damen Ave & Thomas St (Augusta Blvd),41.9013,-87.6774,casual,757
Damen Ave & Thomas St (Augusta Blvd),41.9013,-87.6774,member,5311
Damen Ave & Walnut (Lake) St (*),41.886,-87.677,casual,324
Damen Ave & Walnut (Lake) St (*),41.886,-87.677,member,1889
Damen Ave & Wellington Ave,41.9359,-87.6784,casual,639
Damen Ave & Wellington Ave,41.9359,-87.6784,member,2973
Dayton St & North Ave,41.9106,-87.6494,casual,1608
Dayton St & North Ave,41.9106,-87.6494,member,8348
Dearborn Pkwy & Delaware Pl,41.899,-87.6299,casual,2916
Dearborn Pkwy & Delaware Pl,41.899,-87.6299,member,15047
Dearborn St & Adams St,41.8794,-87.6298,casual,1773
Dearborn St & Adams St,41.8794,-87.6298,member,9590
Dearborn St & Erie St,41.894,-87.6293,casual,4183
Dearborn St & Erie St,41.894,-87.6293,member,21079
Dearborn St & Monroe St,41.8813,-87.6295,casual,2360
Dearborn St & Monroe St,41.8813,-87.6295,member,16888
Dearborn St & Van Buren St,41.8763,-87.6292,casual,853
Dearborn St & Van Buren St,41.8763,-87.6292,member,3827
Delano Ct & Roosevelt Rd,41.8675,-87.6322,casual,1292
Delano Ct & Roosevelt Rd,41.8675,-87.6322,member,4654
Desplaines St & Jackson Blvd,41.8783,-87.6439,casual,1121
Desplaines St & Jackson Blvd,41.8783,-87.6439,member,12741
Desplaines St & Kinzie St,41.8887,-87.6444,casual,2167
Desplaines St & Kinzie St,41.8887,-87.6444,member,16989
Desplaines St & Randolph St,41.8846,-87.6446,casual,1410
Desplaines St & Randolph St,41.8846,-87.6446,member,9417
Dodge Ave & Church St,42.0483,-87.6982,casual,182
Dodge Ave & Church St,42.0483,-87.6982,member,676
Dodge Ave & Mulford St,42.0235,-87.6996,casual,128
Dodge Ave & Mulford St,42.0235,-87.6996,member,251
Dorchester Ave & 49th St,41.8058,-87.5925,casual,191
Dorchester Ave & 49th St,41.8058,-87.5925,member,626
Dorchester Ave & 63rd St,41.7804,-87.5914,casual,211
Dorchester Ave & 63rd St,41.7804,-87.5914,member,292
Drake Ave & Addison St,41.9473,-87.7176,casual,205
Drake Ave & Addison St,41.9473,-87.7176,member,1258
Drake Ave & Fullerton Ave,41.9244,-87.7154,casual,709
Drake Ave & Fullerton Ave,41.9244,-87.7154,member,1897
Drake Ave & Montrose Ave,41.9612,-87.7166,casual,255
Drake Ave & Montrose Ave,41.9612,-87.7166,member,844
DuSable Museum,41.7916,-87.6079,casual,146
DuSable Museum,41.7916,-87.6079,member,395
Dusable Harbor,41.887,-87.6128,casual,9644
Dusable Harbor,41.887,-87.6128,member,4951
Eastlake Ter & Rogers Ave,42.0209,-87.6651,casual,315
Eastlake Ter & Rogers Ave,42.0209,-87.6651,member,1771
Eberhart Ave & 61st St,41.7841,-87.6133,casual,98
Eberhart Ave & 61st St,41.7841,-87.6133,member,79
Eckhart Park,41.8964,-87.661,casual,999
Eckhart Park,41.8964,-87.661,member,5538
Elizabeth (May) St & Fulton St,41.8866,-87.658,casual,407
Elizabeth (May) St & Fulton St,41.8866,-87.658,member,3638
Elizabeth St & 47th St,41.8084,-87.6565,casual,23
Elizabeth St & 47th St,41.8084,-87.6565,member,77
Elizabeth St & 59th St,41.7867,-87.6559,casual,5
Elizabeth St & 59th St,41.7867,-87.6559,member,8
Ellis Ave & 53rd St,41.7993,-87.601,casual,510
Ellis Ave & 53rd St,41.7993,-87.601,member,3803
Ellis Ave & 55th St,41.7943,-87.6015,casual,1069
Ellis Ave & 55th St,41.7943,-87.6015,member,7760
Ellis Ave & 58th St,41.7887,-87.6013,casual,621
Ellis Ave & 58th St,41.7887,-87.6013,member,5078
Ellis Ave & 60th St,41.7851,-87.6011,casual,1129
Ellis Ave & 60th St,41.7851,-87.6011,member,6463
Elmwood Ave & Austin St,42.0258,-87.6841,casual,146
Elmwood Ave & Austin St,42.0258,-87.6841,member,791
Elston Ave & Wabansia Ave,41.9129,-87.6642,casual,464
Elston Ave & Wabansia Ave,41.9129,-87.6642,member,2299
Emerald Ave & 28th St,41.8436,-87.6454,casual,225
Emerald Ave & 28th St,41.8436,-87.6454,member,1927
Emerald Ave & 31st St,41.8382,-87.6451,casual,333
Emerald Ave & 31st St,41.8382,-87.6451,member,3280
Evans Ave & 75th St,41.7585,-87.6064,casual,19
Evans Ave & 75th St,41.7585,-87.6064,member,83
Evanston Civic Center,42.057,-87.6866,casual,140
Evanston Civic Center,42.057,-87.6866,member,331
Exchange Ave & 79th St,41.7517,-87.5528,casual,35
Exchange Ave & 79th St,41.7517,-87.5528,member,24
Fairbanks Ct & Grand Ave,41.8918,-87.6206,casual,5966
Fairbanks Ct & Grand Ave,41.8918,-87.6206,member,14967
Fairbanks St & Superior St,41.8957,-87.6201,casual,1028
Fairbanks St & Superior St,41.8957,-87.6201,member,3918
Fairfield Ave & Roosevelt Rd,41.8666,-87.6945,casual,133
Fairfield Ave & Roosevelt Rd,41.8666,-87.6945,member,242
Federal St & Polk St,41.8721,-87.6295,casual,1837
Federal St & Polk St,41.8721,-87.6295,member,10497
Field Blvd & South Water St,41.8863,-87.6175,casual,2406
Field Blvd & South Water St,41.8863,-87.6175,member,7923
Field Museum,41.8653,-87.6179,casual,5299
Field Museum,41.8653,-87.6179,member,2382
Financial Pl & Ida B Wells Dr,41.875,-87.6331,casual,670
Financial Pl & Ida B Wells Dr,41.875,-87.6331,member,4802
Fort Dearborn Dr & 31st St,41.8386,-87.6082,casual,4189
Fort Dearborn Dr & 31st St,41.8386,-87.6082,member,3584
Francisco Ave & Foster Ave,41.9756,-87.7014,casual,338
Francisco Ave & Foster Ave,41.9756,-87.7014,member,1176
Franklin St & Adams St (Temp),41.8794,-87.6355,casual,1290
Franklin St & Adams St (Temp),41.8794,-87.6355,member,5360
Franklin St & Chicago Ave,41.8967,-87.6357,casual,555
Franklin St & Chicago Ave,41.8967,-87.6357,member,7647
Franklin St & Illinois St,41.891,-87.6355,casual,671
Franklin St & Illinois St,41.891,-87.6355,member,4618
Franklin St & Jackson Blvd,41.8777,-87.6353,casual,3071
Franklin St & Jackson Blvd,41.8777,-87.6353,member,15745
Franklin St & Lake St,41.8858,-87.6355,casual,1743
Franklin St & Lake St,41.8858,-87.6355,member,12389
Franklin St & Monroe St,41.8803,-87.6352,casual,2863
Franklin St & Monroe St,41.8803,-87.6352,member,27637
Glenwood Ave & Morse Ave,42.008,-87.6655,casual,534
Glenwood Ave & Morse Ave,42.008,-87.6655,member,2474
Glenwood Ave & Touhy Ave,42.0127,-87.6661,casual,206
