end_station_name,end_lat,end_lng,casual,member
Campbell Ave & North Ave,41.9105,-87.6896,741,3832
Racine Ave & Washington Blvd (*),41.8831,-87.657,511,3871
Ashland Ave & Grace St,41.9507,-87.6687,772,3875
Fairbanks St & Superior St,41.8957,-87.6201,1028,3918
Morgan Ave & 14th Pl,41.8624,-87.6511,414,3940
Lincoln Ave & Waveland Ave,41.9488,-87.6753,507,3963
Benson Ave & Church St,42.0482,-87.6835,1249,4047
Artesian Ave & Hubbard St,41.8895,-87.6882,351,4090
Racine Ave & 18th St,41.8582,-87.6565,1003,4090
Leavitt St & North Ave,41.9102,-87.6823,1048,4102
Lincoln Ave & Sunnyside Ave,41.963,-87.6848,637,4109
Damen Ave & Grand Ave,41.8912,-87.6769,660,4136
Ravenswood Ave & Irving Park Rd,41.9547,-87.6739,636,4140
Ashland Ave & Grand Ave,41.8911,-87.6666,545,4163
Clarendon Ave & Junior Ter,41.961,-87.6496,1615,4214
Michigan Ave & 8th St,41.8728,-87.624,9577,4330
Cornell Ave & Hyde Park Blvd,41.8024,-87.5869,1686,4332
Racine Ave & Wrightwood Ave,41.9289,-87.659,947,4439
Hermitage Ave & Polk St,41.8715,-87.6699,258,4470
Larrabee St & Menomonee St,41.9147,-87.6433,573,4474
Broadway & Argyle St,41.9738,-87.6597,1169,4502
Ashland Ave & Wrightwood Ave,41.9288,-87.6685,924,4523
Ashland Ave & Augusta Blvd,41.8996,-87.6677,516,4603
Southport Ave & Irving Park Rd,41.9542,-87.6644,884,4616
Franklin St & Illinois St,41.891,-87.6355,671,4618
Lake Park Ave & 56th St,41.7932,-87.5878,928,4622
Delano Ct & Roosevelt Rd,41.8675,-87.6322,1292,4654
Broadway & Berwyn Ave,41.9784,-87.6598,1137,4655
Damen Ave & Leland Ave,41.9671,-87.679,651,4745
Clark St & Leland Ave,41.9671,-87.6674,829,4796
Financial Pl & Ida B Wells Dr,41.875,-87.6331,670,4802
Shore Dr & 55th St,41.7952,-87.5807,2731,4820
Wood St & Augusta Blvd,41.8992,-87.6722,432,4821
Wood St & Chicago Ave (*),41.8956,-87.6721,730,4877
Adler Planetarium,41.8661,-87.6073,10718,4932
Ashland Ave & Chicago Ave,41.896,-87.6677,873,4935
Dusable Harbor,41.887,-87.6128,9644,4951
Sangamon St & Washington Blvd,41.8832,-87.6511,798,4952
Western Ave & Leland Ave,41.9665,-87.6884,750,4997
Southport Ave & Belmont Ave,41.9395,-87.6638,997,5029
Paulina St & Flournoy St,41.873,-87.6691,378,5032
Ellis Ave & 58th St,41.7887,-87.6013,621,5078
Wells St & Walton St,41.8999,-87.6344,875,5174
Clinton St & Roosevelt Rd,41.8671,-87.6411,1146,5224
Orleans St & Hubbard St,41.89,-87.6366,582,5230
Noble St & Milwaukee Ave,41.9007,-87.6626,1007,5282
Damen Ave & Thomas St (Augusta Blvd),41.9013,-87.6774,757,5311
Western Ave & Walton St,41.8984,-87.6866,899,5351
Franklin St & Adams St (Temp),41.8794,-87.6355,1290,5360
LaSalle St & Adams St,41.8793,-87.632,1115,5412
Wood St & Taylor St,41.8692,-87.671,285,5421
Racine Ave & Randolph St,41.8841,-87.6569,632,5445
Paulina Ave & North Ave,41.9103,-87.6701,1309,5481
Clybourn Ave & Division St,41.9046,-87.6406,556,5492
Clark St & Grace St,41.9508,-87.6592,2178,5531
Eckhart Park,41.8964,-87.661,999,5538
LaSalle Dr & Huron St,41.8949,-87.6323,1685,5562
Montrose Harbor,41.964,-87.6382,7899,5657
Southport Ave & Wrightwood Ave,41.9288,-87.6639,1194,5713
Michigan Ave & Pearson St,41.8977,-87.6235,5076,5713
Shedd Aquarium,41.8672,-87.6154,16653,5729
Racine Ave & Congress Pkwy,41.8746,-87.657,441,5738
Blue Island Ave & 18th St,41.8576,-87.6615,894,5746
State St & Harrison St,41.8741,-87.6277,1914,5772
Lincoln Ave & Belmont Ave,41.9394,-87.6684,1190,5778
Lakefront Trail & Bryn Mawr Ave,41.984,-87.6523,4527,5781
900 W Harrison St,41.8748,-87.6498,887,5826
Ashland Ave & Blackhawk St,41.9071,-87.6673,1089,5853
Racine Ave & Belmont Ave,41.9397,-87.6589,1833,5909
State St & 33rd St,41.8347,-87.6258,605,6051
Ritchie Ct & Banks St,41.9069,-87.6262,2192,6074
Larrabee St & Armitage Ave,41.9181,-87.6437,1361,6080
Halsted St & Maxwell St,41.8649,-87.6471,1011,6103
Clark St & Newport St,41.9445,-87.6547,3031,6171
Clark St & Berwyn Ave,41.978,-87.668,1394,6222
Calumet Ave & 18th St,41.8576,-87.6194,2122,6236
Clarendon Ave & Gordon Ter,41.9579,-87.6495,1621,6240
Clark St & North Ave,41.912,-87.6319,3550,6251
Halsted St & Roosevelt Rd,41.8673,-87.6486,667,6265
Greenview Ave & Fullerton Ave,41.9253,-87.6658,1591,6271
Clinton St & Tilden St,41.8759,-87.6408,391,6357
Carpenter St & Huron St,41.8946,-87.6534,737,6407
Halsted St & Willow St,41.9139,-87.6488,1047,6414
Lincoln Ave & Diversey Pkwy,41.9322,-87.6586,1442,6431
Ellis Ave & 60th St,41.7851,-87.6011,1129,6463
May St & Taylor St,41.8695,-87.6555,1177,6494
Orleans St & Chestnut St (NEXT Apts),41.8982,-87.6375,1075,6541
Canal St & Taylor St,41.8703,-87.6395,1141,6688
Broadway & Sheridan Rd,41.9528,-87.65,1541,6700
Sheridan Rd & Montrose Ave,41.9617,-87.6546,1589,6739
MLK Jr Dr & 29th St,41.8421,-87.617,708,6745
Broadway & Wilson Ave,41.9652,-87.6581,1227,6814
Clark St & Winnemac Ave,41.9733,-87.6678,1202,6900
Wells St & Polk St,41.8726,-87.6335,1228,6901
Honore St & Division St,41.9031,-87.6739,1385,6917
Damen Ave & Cortland St,41.916,-87.6773,2190,6957
Pine Grove Ave & Irving Park Rd,41.9544,-87.648,2414,6961
Damen Ave & Division St,41.9033,-87.6784,1065,6969
Clifton Ave & Armitage Ave,41.9182,-87.6569,1268,6992
California Ave & Milwaukee Ave,41.9227,-87.6972,1875,7081
Sheffield Ave & Wrightwood Ave,41.9287,-87.6538,1777,7138
Wabash Ave & Wacker Pl,41.8869,-87.626,5075,7201
Western Ave & Winnebago Ave,41.9155,-87.687,1465,7236
Southport Ave & Clybourn Ave,41.9208,-87.6637,1694,7247
Ada St & Washington Blvd,41.8828,-87.6612,774,7279
Burnham Harbor,41.8563,-87.6133,4132,7321
Halsted St & Polk St,41.8718,-87.6466,750,7339
Kedzie Ave & Milwaukee Ave,41.9296,-87.7079,2621,7521
Kimbark Ave & 53rd St,41.7996,-87.5947,1304,7566
Ogden Ave & Race Ave,41.8918,-87.6588,945,7574
Michigan Ave & 14th St,41.8641,-87.6237,1655,7634
Franklin St & Chicago Ave,41.8967,-87.6357,555,7647
Ellis Ave & 55th St,41.7943,-87.6015,1069,7760
Canal St & Monroe St,41.8817,-87.6395,853,7780
Jefferson St & Monroe St,41.8804,-87.6427,751,7860
Larrabee St & Oak St,41.9002,-87.643,503,7908
Field Blvd & South Water St,41.8863,-87.6175,2406,7923
Lake Shore Dr & Ohio St,41.8926,-87.6145,6930,7941
