,member_casual_x,date,count,member_casual_y,mean,member_casual,sum
436,casual,2019-07-19,4253,casual,4898.193040206913,casual,20832015.0
437,casual,2019-07-19,4253,casual,4898.193040206913,member,15096215.0
438,casual,2019-07-19,4253,member,1240.7508013479082,casual,20832015.0
439,casual,2019-07-19,4253,member,1240.7508013479082,member,15096215.0
440,casual,2019-07-20,7267,casual,2522.142287051053,casual,18328408.0
441,casual,2019-07-20,7267,casual,2522.142287051053,member,7905228.0
442,casual,2019-07-20,7267,member,948.6653066122645,casual,18328408.0
443,casual,2019-07-20,7267,member,948.6653066122645,member,7905228.0
444,casual,2019-07-21,5289,casual,3286.174134997164,casual,17380575.0
445,casual,2019-07-21,5289,casual,3286.174134997164,member,7006287.0
446,casual,2019-07-21,5289,member,959.7653424657534,casual,17380575.0
447,casual,2019-07-21,5289,member,959.7653424657534,member,7006287.0
448,casual,2019-07-22,5256,casual,3266.2178462709285,casual,17167241.0
449,casual,2019-07-22,5256,casual,3266.2178462709285,member,21493953.0
450,casual,2019-07-22,5256,member,1475.2198352779685,casual,17167241.0
451,casual,2019-07-22,5256,member,1475.2198352779685,member,21493953.0
452,casual,2019-07-23,4843,casual,2869.2271319430106,casual,13895667.0
453,casual,2019-07-23,4843,casual,2869.2271319430106,member,12896392.0
454,casual,2019-07-23,4843,member,826.6388052047946,casual,13895667.0
455,casual,2019-07-23,4843,member,826.6388052047946,member,12896392.0
456,casual,2019-07-24,4923,casual,4995.152346130409,casual,24591135.0
457,casual,2019-07-24,4923,casual,4995.152346130409,member,13935135.0
458,casual,2019-07-24,4923,member,880.855562579014,casual,24591135.0
459,casual,2019-07-24,4923,member,880.855562579014,member,13935135.0
460,casual,2019-07-25,5125,casual,4952.798829268293,casual,25383094.0
461,casual,2019-07-25,5125,casual,4952.798829268293,member,23398003.0
462,casual,2019-07-25,5125,member,1505.759894459103,casual,25383094.0
463,casual,2019-07-25,5125,member,1505.759894459103,member,23398003.0
464,casual,2019-07-26,5863,casual,3736.9445676274945,casual,21909706.0
