start_station_name,start_lat,start_lng,member_casual,count
Clark St & Wrightwood Ave,41.9295,-87.6431,casual,3197
Clark St & Wrightwood Ave,41.9295,-87.6431,member,12459
Clifton Ave & Armitage Ave,41.9182,-87.6569,casual,1347
Clifton Ave & Armitage Ave,41.9182,-87.6569,member,6719
Clinton St & 18th St,41.858,-87.6408,casual,405
Clinton St & 18th St,41.858,-87.6408,member,2207
Clinton St & Jackson Blvd,41.8781,-87.6398,casual,1251
Clinton St & Jackson Blvd,41.8781,-87.6398,member,12962
Clinton St & Lake St,41.8856,-87.6418,casual,1931
Clinton St & Lake St,41.8856,-87.6418,member,21917
Clinton St & Madison St,41.8822,-87.6411,casual,3949
Clinton St & Madison St,41.8822,-87.6411,member,46142
Clinton St & Polk St,41.8715,-87.6409,casual,255
Clinton St & Polk St,41.8715,-87.6409,member,1105
Clinton St & Roosevelt Rd,41.8671,-87.6411,casual,1203
Clinton St & Roosevelt Rd,41.8671,-87.6411,member,4687
Clinton St & Tilden St,41.8759,-87.6408,casual,526
Clinton St & Tilden St,41.8759,-87.6408,member,6437
Clinton St & Washington Blvd,41.8834,-87.6412,casual,2803
Clinton St & Washington Blvd,41.8834,-87.6412,member,43553
Clybourn Ave & Division St,41.9046,-87.6406,casual,574
Clybourn Ave & Division St,41.9046,-87.6406,member,5523
Columbus Dr & Randolph St,41.8847,-87.6195,casual,7908
Columbus Dr & Randolph St,41.8847,-87.6195,member,31005
Commercial Ave & 83rd St,41.7446,-87.5512,casual,25
Commercial Ave & 83rd St,41.7446,-87.5512,member,28
Conservatory Dr & Lake St,41.8855,-87.7169,casual,258
Conservatory Dr & Lake St,41.8855,-87.7169,member,461
Cornell Ave & Hyde Park Blvd,41.8024,-87.5869,casual,1773
Cornell Ave & Hyde Park Blvd,41.8024,-87.5869,member,4497
Cornell Dr & Hayes Dr,41.7806,-87.5848,casual,120
Cornell Dr & Hayes Dr,41.7806,-87.5848,member,109
Cottage Grove Ave & 43rd St,41.8165,-87.6066,casual,169
Cottage Grove Ave & 43rd St,41.8165,-87.6066,member,640
Cottage Grove Ave & 47th St,41.8099,-87.6068,casual,260
Cottage Grove Ave & 47th St,41.8099,-87.6068,member,726
Cottage Grove Ave & 51st St,41.803,-87.6066,casual,217
Cottage Grove Ave & 51st St,41.803,-87.6066,member,732
Cottage Grove Ave & 63rd St,41.7806,-87.6061,casual,111
Cottage Grove Ave & 63rd St,41.7806,-87.6061,member,299
Cottage Grove Ave & 67th St,41.7737,-87.6056,casual,34
Cottage Grove Ave & 67th St,41.7737,-87.6056,member,97
Cottage Grove Ave & 71st St,41.7657,-87.605,casual,27
Cottage Grove Ave & 71st St,41.7657,-87.605,member,22
Cottage Grove Ave & 78th St,41.7532,-87.605,casual,31
Cottage Grove Ave & 78th St,41.7532,-87.605,member,47
Cottage Grove Ave & 83rd St,41.7434,-87.6048,casual,79
Cottage Grove Ave & 83rd St,41.7434,-87.6048,member,30
Cottage Grove Ave & Oakwood Blvd,41.823,-87.6071,casual,409
Cottage Grove Ave & Oakwood Blvd,41.823,-87.6071,member,386
Daley Center Plaza,41.8842,-87.6296,casual,3550
Daley Center Plaza,41.8842,-87.6296,member,30585
Damen Ave & 51st St,41.8009,-87.6747,casual,20
Damen Ave & 51st St,41.8009,-87.6747,member,40
Damen Ave & Charleston St,41.9201,-87.6779,casual,920
Damen Ave & Charleston St,41.9201,-87.6779,member,3510
Damen Ave & Chicago Ave,41.8958,-87.6772,casual,1348
Damen Ave & Chicago Ave,41.8958,-87.6772,member,8000
Damen Ave & Clybourn Ave,41.9319,-87.6779,casual,562
Damen Ave & Clybourn Ave,41.9319,-87.6779,member,2862
Damen Ave & Cortland St,41.916,-87.6773,casual,2089
Damen Ave & Cortland St,41.916,-87.6773,member,7082
Damen Ave & Coulter St,41.8492,-87.6756,casual,53
Damen Ave & Coulter St,41.8492,-87.6756,member,178
Damen Ave & Cullerton St,41.855,-87.6757,casual,502
Damen Ave & Cullerton St,41.855,-87.6757,member,1274
Damen Ave & Division St,41.9033,-87.6784,casual,1128
Damen Ave & Division St,41.9033,-87.6784,member,6862
Damen Ave & Foster Ave,41.9756,-87.6795,casual,520
Damen Ave & Foster Ave,41.9756,-87.6795,member,3251
Damen Ave & Grand Ave,41.8912,-87.6769,casual,695
Damen Ave & Grand Ave,41.8912,-87.6769,member,3941
Damen Ave & Leland Ave,41.9671,-87.679,casual,721
Damen Ave & Leland Ave,41.9671,-87.679,member,4977
Damen Ave & Madison St,41.8814,-87.6749,casual,750
Damen Ave & Madison St,41.8814,-87.6749,member,1373
Damen Ave & Melrose Ave,41.9406,-87.6785,casual,568
Damen Ave & Melrose Ave,41.9406,-87.6785,member,1837
Damen Ave & Pershing Rd,41.8232,-87.6766,casual,107
Damen Ave & Pershing Rd,41.8232,-87.6766,member,49
Damen Ave & Pierce Ave,41.9094,-87.6777,casual,4154
Damen Ave & Pierce Ave,41.9094,-87.6777,member,15722
Damen Ave & Sunnyside Ave,41.9633,-87.6793,casual,413
Damen Ave & Sunnyside Ave,41.9633,-87.6793,member,2035
Damen Ave & Thomas St (Augusta Blvd),41.9013,-87.6774,casual,888
Damen Ave & Thomas St (Augusta Blvd),41.9013,-87.6774,member,5519
Damen Ave & Walnut (Lake) St (*),41.886,-87.677,casual,224
Damen Ave & Walnut (Lake) St (*),41.886,-87.677,member,1676
Damen Ave & Wellington Ave,41.9359,-87.6784,casual,671
Damen Ave & Wellington Ave,41.9359,-87.6784,member,2942
Dayton St & North Ave,41.9106,-87.6494,casual,1612
Dayton St & North Ave,41.9106,-87.6494,member,8256
Dearborn Pkwy & Delaware Pl,41.899,-87.6299,casual,2832
Dearborn Pkwy & Delaware Pl,41.899,-87.6299,member,14230
Dearborn St & Adams St,41.8794,-87.6298,casual,1751
Dearborn St & Adams St,41.8794,-87.6298,member,10270
Dearborn St & Erie St,41.894,-87.6293,casual,4114
Dearborn St & Erie St,41.894,-87.6293,member,20663
Dearborn St & Monroe St,41.8813,-87.6295,casual,2416
Dearborn St & Monroe St,41.8813,-87.6295,member,17886
Dearborn St & Van Buren St,41.8763,-87.6292,casual,899
Dearborn St & Van Buren St,41.8763,-87.6292,member,3896
Delano Ct & Roosevelt Rd,41.8675,-87.6322,casual,1431
Delano Ct & Roosevelt Rd,41.8675,-87.6322,member,5166
Desplaines St & Jackson Blvd,41.8783,-87.6439,casual,1368
Desplaines St & Jackson Blvd,41.8783,-87.6439,member,12994
Desplaines St & Kinzie St,41.8887,-87.6444,casual,2657
Desplaines St & Kinzie St,41.8887,-87.6444,member,19821
Desplaines St & Randolph St,41.8846,-87.6446,casual,1762
Desplaines St & Randolph St,41.8846,-87.6446,member,9876
Dodge Ave & Church St,42.0483,-87.6982,casual,207
Dodge Ave & Church St,42.0483,-87.6982,member,771
Dodge Ave & Mulford St,42.0235,-87.6996,casual,114
Dodge Ave & Mulford St,42.0235,-87.6996,member,239
Dorchester Ave & 49th St,41.8058,-87.5925,casual,149
Dorchester Ave & 49th St,41.8058,-87.5925,member,592
Dorchester Ave & 63rd St,41.7804,-87.5914,casual,211
Dorchester Ave & 63rd St,41.7804,-87.5914,member,266
Drake Ave & Addison St,41.9473,-87.7176,casual,211
Drake Ave & Addison St,41.9473,-87.7176,member,1423
Drake Ave & Fullerton Ave,41.9244,-87.7154,casual,504
Drake Ave & Fullerton Ave,41.9244,-87.7154,member,1874
Drake Ave & Montrose Ave,41.9612,-87.7166,casual,216
Drake Ave & Montrose Ave,41.9612,-87.7166,member,785
DuSable Museum,41.7916,-87.6079,casual,211
DuSable Museum,41.7916,-87.6079,member,381
Dusable Harbor,41.887,-87.6128,casual,12694
Dusable Harbor,41.887,-87.6128,member,4771
Eastlake Ter & Rogers Ave,42.0209,-87.6651,casual,363
Eastlake Ter & Rogers Ave,42.0209,-87.6651,member,1819
Eberhart Ave & 61st St,41.7841,-87.6133,casual,90
Eberhart Ave & 61st St,41.7841,-87.6133,member,77
Eckhart Park,41.8964,-87.661,casual,805
Eckhart Park,41.8964,-87.661,member,5532
Eggleston Ave & 69th St (*),41.7689,-87.6359,casual,8
Eggleston Ave & 69th St (*),41.7689,-87.6359,member,29
Elizabeth (May) St & Fulton St,41.8866,-87.658,casual,417
Elizabeth (May) St & Fulton St,41.8866,-87.658,member,3723
Elizabeth St & 47th St,41.8084,-87.6565,casual,7
Elizabeth St & 47th St,41.8084,-87.6565,member,68
Elizabeth St & 59th St,41.7867,-87.6559,member,10
Ellis Ave & 53rd St,41.7993,-87.601,casual,533
Ellis Ave & 53rd St,41.7993,-87.601,member,3811
Ellis Ave & 55th St,41.7943,-87.6015,casual,1206
Ellis Ave & 55th St,41.7943,-87.6015,member,7697
Ellis Ave & 58th St,41.7887,-87.6013,casual,691
Ellis Ave & 58th St,41.7887,-87.6013,member,5056
Ellis Ave & 60th St,41.7851,-87.6011,casual,1328
Ellis Ave & 60th St,41.7851,-87.6011,member,6457
Ellis Ave & 83rd St,41.7441,-87.599,casual,27
Ellis Ave & 83rd St,41.7441,-87.599,member,31
Elmwood Ave & Austin St,42.0258,-87.6841,casual,167
Elmwood Ave & Austin St,42.0258,-87.6841,member,794
Elston Ave & Wabansia Ave,41.9129,-87.6642,casual,444
Elston Ave & Wabansia Ave,41.9129,-87.6642,member,2211
Emerald Ave & 28th St,41.8436,-87.6454,casual,204
Emerald Ave & 28th St,41.8436,-87.6454,member,1929
Emerald Ave & 31st St,41.8382,-87.6451,casual,280
Emerald Ave & 31st St,41.8382,-87.6451,member,3121
Evans Ave & 75th St,41.7585,-87.6064,casual,15
Evans Ave & 75th St,41.7585,-87.6064,member,41
Evanston Civic Center,42.057,-87.6866,casual,181
Evanston Civic Center,42.057,-87.6866,member,277
Exchange Ave & 79th St,41.7517,-87.5528,casual,20
Exchange Ave & 79th St,41.7517,-87.5528,member,21
Fairbanks Ct & Grand Ave,41.8918,-87.6206,casual,5197
Fairbanks Ct & Grand Ave,41.8918,-87.6206,member,15464
Fairbanks St & Superior St,41.8957,-87.6201,casual,975
Fairbanks St & Superior St,41.8957,-87.6201,member,3979
Fairfield Ave & Roosevelt Rd,41.8666,-87.6945,casual,162
Fairfield Ave & Roosevelt Rd,41.8666,-87.6945,member,222
Federal St & Polk St,41.8721,-87.6295,casual,2096
Federal St & Polk St,41.8721,-87.6295,member,10145
Field Blvd & South Water St,41.8863,-87.6175,casual,3150
Field Blvd & South Water St,41.8863,-87.6175,member,7350
Field Museum,41.8653,-87.6179,casual,7647
Field Museum,41.8653,-87.6179,member,2423
Financial Pl & Ida B Wells Dr,41.875,-87.6331,casual,702
Financial Pl & Ida B Wells Dr,41.875,-87.6331,member,5193
Fort Dearborn Dr & 31st St,41.8386,-87.6082,casual,4011
Fort Dearborn Dr & 31st St,41.8386,-87.6082,member,3547
Francisco Ave & Foster Ave,41.9756,-87.7014,casual,325
Francisco Ave & Foster Ave,41.9756,-87.7014,member,1177
Franklin St & Adams St (Temp),41.8794,-87.6355,casual,1233
Franklin St & Adams St (Temp),41.8794,-87.6355,member,6006
Franklin St & Chicago Ave,41.8967,-87.6357,casual,812
Franklin St & Chicago Ave,41.8967,-87.6357,member,8191
Franklin St & Illinois St,41.891,-87.6355,casual,672
Franklin St & Illinois St,41.891,-87.6355,member,4623
Franklin St & Jackson Blvd,41.8777,-87.6353,casual,3203
Franklin St & Jackson Blvd,41.8777,-87.6353,member,16782
Franklin St & Lake St,41.8858,-87.6355,casual,1767
Franklin St & Lake St,41.8858,-87.6355,member,13768
